Generation	Smiles	Inchi	Pathways	Path Energies	Reaction IDs
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	[<treelib.tree.Tree object at 0x149a1c370>, <treelib.tree.Tree object at 0x149a20160>]	[-16.39, -16.39]	[['6_0'], ['6_1']]
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	[<treelib.tree.Tree object at 0x14a425730>, <treelib.tree.Tree object at 0x149749700>, <treelib.tree.Tree object at 0x1497570a0>, <treelib.tree.Tree object at 0x149a28af0>]	[-45.989999999999995, -45.989999999999995, -45.989999999999995, -45.989999999999995]	[['16_0', '4_0'], ['16_1', '4_0'], ['16_0', '4_1'], ['16_1', '4_1']]
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	[<treelib.tree.Tree object at 0x1497497c0>, <treelib.tree.Tree object at 0x1497498e0>]	[-18.39, -18.39]	[['26_0', '6_0'], ['26_0', '6_1']]
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	[<treelib.tree.Tree object at 0x149749a00>, <treelib.tree.Tree object at 0x149a2ed30>]	[-63.01, -63.01]	[['28_0', '4_0'], ['28_0', '4_1']]
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	[<treelib.tree.Tree object at 0x149749250>, <treelib.tree.Tree object at 0x149753b80>]	[-41.34, -41.34]	[['30_0', '6_0'], ['30_0', '6_1']]
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	[<treelib.tree.Tree object at 0x149a282e0>, <treelib.tree.Tree object at 0x149f62f10>, <treelib.tree.Tree object at 0x149748820>]	[-62.79, -62.79, -62.79]	[['32_0', '4_0'], ['48_0', '14_0'], ['32_0', '4_1']]
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	[<treelib.tree.Tree object at 0x149a11430>, <treelib.tree.Tree object at 0x149f55070>]	[-46.56, -46.56]	[['34_0', '6_0'], ['34_0', '6_1']]
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	[<treelib.tree.Tree object at 0x149f62250>, <treelib.tree.Tree object at 0x149748310>, <treelib.tree.Tree object at 0x149a35d60>, <treelib.tree.Tree object at 0x149f75220>]	[-59.56999999999999, -59.56999999999999, -59.56999999999999, -59.56999999999999]	[['38_0', '4_0'], ['38_1', '4_0'], ['38_0', '4_1'], ['38_1', '4_1']]
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ	[<treelib.tree.Tree object at 0x149f75d00>, <treelib.tree.Tree object at 0x149f622b0>, <treelib.tree.Tree object at 0x149753ca0>, <treelib.tree.Tree object at 0x149753d60>, <treelib.tree.Tree object at 0x149f58dc0>, <treelib.tree.Tree object at 0x149f55e20>, <treelib.tree.Tree object at 0x149f81880>, <treelib.tree.Tree object at 0x149757460>]	[-43.34, -43.34, -43.349999999999994, -43.349999999999994, -43.34, -43.34, -43.349999999999994, -43.349999999999994]	[['40_0', '6_0'], ['40_1', '6_0'], ['41_0', '4_0'], ['41_1', '4_0'], ['40_0', '6_1'], ['40_1', '6_1'], ['41_0', '4_1'], ['41_1', '4_1']]
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	[<treelib.tree.Tree object at 0x149749ac0>, <treelib.tree.Tree object at 0x149f62700>]	[-17.990000000000002, -17.990000000000002]	[['65_0', '6_0'], ['65_0', '6_1']]
